,funds_rate,oil_price,CPI,GS3,unemployment_rate,GDP,economic_growth_rate
2008-04-01,2.2783333333333333,112.58045454545454,3.93688977482752,2.23,5.0,14812.646666666666,0.3594566308820928
2008-05-01,1.9783870967741934,125.58420454545454,4.17554304180352,2.69,5.4,14865.701,0.35816916805774635
2008-06-01,2.001,133.88,5.02179004761172,3.08,5.6,14876.800333333333,0.07466404263972187
2008-07-01,2.009677419354839,133.84728260869565,5.60012290025396,2.87,5.8,14887.899666666666,0.07460833703914219
2008-08-01,1.996451612903226,116.66619047619047,5.37185511526235,2.7,6.1,14898.999,0.07455271449863722
2008-09-01,1.8116666666666668,104.43227272727272,4.9369274305722,2.32,6.1,14802.068666666666,-0.6505828568304065
2008-10-01,0.9693548387096774,76.6086956521739,3.65518627713749,1.86,6.5,14705.138333333334,-0.6548431541302935
2008-11-01,0.3876666666666667,57.17925,1.06957469180737,1.51,6.8,14608.208,-0.6591596157488285
2008-12-01,0.15516129032258064,40.866956521739134,0.0914129006455893,1.07,7.3,14549.105666666666,-0.40458304901829284
2009-01-01,0.15419354838709678,41.69806818181818,0.0298465036952666,1.13,7.8,14490.003333333334,-0.40622657287273134
2009-02-01,0.22214285714285714,38.914375,0.236191088037882,1.37,8.3,14430.901,-0.40788350405256985
2009-03-01,0.18064516129032257,47.939090909090915,-0.383556254917384,1.31,8.7,14414.346,-0.11471910173869457
2009-04-01,0.15033333333333332,49.74159090909091,-0.736885715216724,1.32,9.0,14397.791000000001,-0.11485085761087234
2009-05-01,0.1774193548387097,59.17702380952381,-1.28143579895861,1.39,9.4,14381.236,-0.11498291647656428
2009-06-01,0.20633333333333334,69.64090909090909,-1.42677604368987,1.76,9.5,14403.784666666666,0.15679227200405907
2009-07-01,0.15580645161290324,64.2336956521739,-2.09716135367605,1.55,9.5,14426.333333333334,0.15654681869029713
2009-08-01,0.16032258064516128,71.04476190476191,-1.48434861196061,1.65,9.6,14448.882,0.1563021326740382
2009-09-01,0.14666666666666667,69.44852272727273,-1.28620596664275,1.48,9.8,14516.337333333333,0.46685503648886695
2009-10-01,0.11806451612903227,75.71545454545455,-0.182848277486101,1.46,10.0,14583.792666666666,0.464685628229637
2009-11-01,0.119,77.92380952380952,1.83829586913028,1.32,9.9,14651.248,0.46253628857129936
